,market,funding_total_usd,region,city,funding_rounds,Founding_year,first_funding_year,last_funding_year,first_funding_gap,last_funding_gap,first_last_funding_gap,success
1535,115,22000000.0,131,580,2,0.0,2007.0,2009,0.0,0.0,2.0,1
1549,220,1000000.0,132,549,1,0.0,2005.0,2005,0.0,0.0,0.0,0
1552,29,37700000.0,132,170,2,1995.0,2007.0,2011,12.0,16.0,4.0,1
1574,210,3000000.0,131,486,1,0.0,2008.0,2008,0.0,0.0,0.0,1
1586,29,17000000.0,82,347,2,2002.0,2005.0,2007,3.0,5.0,2.0,1
1592,210,17300000.0,131,570,2,2000.0,2007.0,2008,7.0,8.0,1.0,1
1621,210,25000000.0,9,34,1,1999.0,2006.0,2006,7.0,7.0,0.0,1
1633,335,27500000.0,116,222,2,1999.0,2000.0,2007,1.0,8.0,7.0,1
1641,29,20000000.0,137,567,1,2006.0,2010.0,2010,4.0,4.0,0.0,1
1651,368,3675000.0,13,152,1,2006.0,2011.0,2011,5.0,5.0,0.0,1
1659,264,5000000.0,131,569,2,2011.0,2012.0,2014,1.0,3.0,2.0,0
1683,210,225000000.0,9,34,2,2003.0,2013.0,2013,10.0,10.0,0.0,1
1684,309,1024999.0,123,189,1,2013.0,2014.0,2014,1.0,1.0,0.0,0
1686,309,32559918.0,17,95,2,2004.0,2006.0,2009,2.0,5.0,3.0,1
1695,373,11500000.0,17,74,2,2009.0,2010.0,2011,1.0,2.0,1.0,1
1711,51,0.0,38,76,1,2011.0,2013.0,2013,2.0,2.0,0.0,1
1720,29,26100000.0,105,487,1,2005.0,2010.0,2010,5.0,5.0,0.0,1
1734,243,36150000.0,131,573,5,0.0,2003.0,2013,0.0,0.0,10.0,0
1744,309,53730000.0,17,354,5,2005.0,2005.0,2010,0.0,5.0,5.0,1
1755,363,30200000.0,6,299,2,2003.0,2005.0,2008,2.0,5.0,3.0,1
1775,145,845075.0,117,592,2,2009.0,2009.0,2014,0.0,5.0,5.0,0
1784,186,10025000.0,38,76,5,0.0,2008.0,2012,0.0,0.0,4.0,1
1803,29,36353283.0,123,189,5,0.0,2007.0,2012,0.0,0.0,5.0,1
1809,29,4793666.0,17,95,1,2004.0,2013.0,2013,9.0,9.0,0.0,0
1818,75,50000.0,123,189,1,2012.0,2012.0,2012,0.0,0.0,0.0,0
1823,146,400000000.0,17,666,1,1981.0,2010.0,2010,29.0,29.0,0.0,1
1873,102,27890167.0,87,408,3,2008.0,2009.0,2012,1.0,4.0,3.0,0
1882,309,6000000.0,137,107,1,2001.0,2005.0,2005,4.0,4.0,0.0,1
1885,146,125000000.0,6,299,1,2013.0,2014.0,2014,1.0,1.0,0.0,0
1894,29,73000000.0,131,610,3,2006.0,2009.0,2014,3.0,8.0,5.0,1
1921,115,0.0,131,581,1,2011.0,2011.0,2011,0.0,0.0,0.0,0
1938,86,51662275.0,135,605,4,2005.0,2007.0,2014,2.0,9.0,7.0,1
1943,29,5400000.0,17,389,1,2006.0,2011.0,2011,5.0,5.0,0.0,1
1972,29,40816578.0,104,449,7,0.0,2011.0,2014,0.0,0.0,3.0,0
1983,264,38000000.0,131,355,2,1999.0,2005.0,2006,6.0,7.0,1.0,0
2001,79,2000000.0,17,99,1,2005.0,2010.0,2010,5.0,5.0,0.0,1
2002,372,0.0,104,449,1,2009.0,2013.0,2013,4.0,4.0,0.0,0
2005,226,4276568.0,131,569,2,2008.0,2006.0,2010,-2.0,2.0,4.0,0
2006,326,8500000.0,127,195,3,1998.0,2005.0,2006,7.0,8.0,1.0,1
2011,5,27200000.0,137,567,2,2002.0,2010.0,2012,8.0,10.0,2.0,1
2021,148,55000000.0,17,99,2,2008.0,2008.0,2010,0.0,2.0,2.0,1
2023,210,445000.0,159,544,1,2011.0,2011.0,2011,0.0,0.0,0.0,0
2049,126,650000.0,104,449,3,2010.0,2011.0,2011,1.0,1.0,0.0,0
2053,83,0.0,117,592,1,2012.0,2012.0,2012,0.0,0.0,0.0,0
2067,198,72000000.0,131,580,1,2007.0,2011.0,2011,4.0,4.0,0.0,1
2069,47,102000000.0,12,420,1,0.0,2011.0,2011,0.0,0.0,0.0,0
2074,29,23466666.0,137,567,2,0.0,2009.0,2010,0.0,0.0,1.0,0
2081,148,387996.0,131,624,1,2011.0,2012.0,2012,1.0,1.0,0.0,0
2092,47,10000.0,78,651,1,1987.0,2009.0,2009,22.0,22.0,0.0,0
2094,309,26800000.0,11,38,3,2001.0,2003.0,2005,2.0,4.0,2.0,1
2098,29,32500000.0,131,610,2,0.0,2010.0,2012,0.0,0.0,2.0,0
2115,105,26600000.0,131,569,2,2009.0,2009.0,2010,0.0,1.0,1.0,1
2122,286,16000000.0,131,530,2,2007.0,2008.0,2010,1.0,3.0,2.0,1
2124,47,228500000.0,107,476,2,0.0,2007.0,2007,0.0,0.0,0.0,0
2128,284,9499393.0,104,449,4,2009.0,2009.0,2012,0.0,3.0,3.0,1
2140,126,7700000.0,131,570,1,0.0,2008.0,2008,0.0,0.0,0.0,1
2151,304,0.0,104,449,1,0.0,2009.0,2009,0.0,0.0,0.0,1
2154,277,12800000.0,30,213,2,2005.0,2007.0,2011,2.0,6.0,4.0,0
2159,289,64000000.0,131,363,3,2003.0,2006.0,2012,3.0,9.0,6.0,1
2182,264,0.0,131,242,2,1998.0,1999.0,2000,1.0,2.0,1.0,1
